epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,6815.55,0.78158,1.34169,1.25374,0.75838,0.80579,0.85115,0.72233,0.6087,0.84258,1.15868,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,7030.92,0.79131,1.3439,1.25911,0.81108,0.776,0.86185,0.73426,0.59962,0.80051,1.14708,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,7248.51,0.7753,1.31014,1.25049,0.81106,0.81173,0.86984,0.73665,0.61082,0.79495,1.15332,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,7469.14,0.7794,1.27871,1.25273,0.83238,0.77418,0.86575,0.73999,0.59792,0.76156,1.14679,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,7689.83,0.76575,1.24267,1.23999,0.81305,0.79202,0.87797,0.74198,0.60287,0.76621,1.14672,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,7910.72,0.76357,1.23101,1.23235,0.81668,0.81196,0.88303,0.74908,0.59031,0.74606,1.14044,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,8127.34,0.76612,1.2352,1.2443,0.84035,0.81938,0.88807,0.74931,0.60162,0.73293,1.15005,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,8343.07,0.7622,1.20427,1.23719,0.84629,0.78489,0.88338,0.75473,0.5877,0.72588,1.13904,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,8557.28,0.76576,1.20382,1.23639,0.83799,0.82163,0.89334,0.76616,0.58697,0.70336,1.13617,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,8771.6,0.75911,1.17373,1.23339,0.84429,0.82377,0.88729,0.75088,0.58998,0.69928,1.14082,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,8985.87,0.74758,1.15244,1.22567,0.87656,0.83236,0.90661,0.7733,0.57581,0.65794,1.12544,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,9203.23,0.75415,1.14992,1.23189,0.84363,0.8334,0.90185,0.76946,0.58063,0.66268,1.13751,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,9419.02,0.74443,1.1249,1.22242,0.86274,0.83769,0.90819,0.78083,0.5781,0.64365,1.13353,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
